	answer_id	question_id	is_accepted
0	70442302	70442165	False
1	70442314	70427840	False
2	70439907	70439366	False
3	70442312	70442161	False
4	70442311	30887797	False
5	70442310	70442309	False
6	70442308	70431807	False
7	70442307	70384322	False
8	5327562	5327534	True
9	70442268	70434268	False
10	70442301	70442108	False
11	70442300	31896253	False
12	26516566	26516353	True
13	70442298	70440807	False
14	70442297	70442149	False
15	60788119	59226055	False
16	70442168	70442149	False
17	70442293	70441881	False
18	70442292	70442278	False
19	70440390	70431508	False
20	70442291	70441662	False
21	70436690	70435424	False
22	70442289	70442161	True
23	70442287	70441652	False
24	70442286	70441491	False
25	70435826	70434527	False
26	70442249	70442135	False
27	70442282	68756419	False
28	70442280	70440500	False
29	70442277	70441870	False
